2025-04-04 05:32:25,970 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2025-04-04 05:32:25,971 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2025-04-04 05:32:25,971 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2025-04-04 05:32:25,971 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2025-04-04 05:32:25,972 INFO  ExportHelperExtension.cs: 1402 - Fixing 31
2025-04-04 05:32:25,972 INFO  ExportHelperExtension.cs: 1409 - Component 31 is already fixed
2025-04-04 05:32:25,972 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2025-04-04 05:32:25,973 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2025-04-04 05:32:25,973 INFO  ExportHelperExtension.cs: 1402 - Fixing 34
2025-04-04 05:32:25,973 INFO  ExportHelperExtension.cs: 1409 - Component 34 is already fixed
2025-04-04 05:32:25,974 INFO  ExportHelperExtension.cs: 1402 - Fixing 43
2025-04-04 05:32:25,974 INFO  ExportHelperExtension.cs: 1409 - Component 43 is already fixed
2025-04-04 05:32:25,975 INFO  ExportHelperExtension.cs: 1402 - Fixing 31
2025-04-04 05:32:25,975 INFO  ExportHelperExtension.cs: 1409 - Component 31 is already fixed
2025-04-04 05:32:25,975 INFO  ExportHelperExtension.cs: 1402 - Fixing 32
2025-04-04 05:32:25,976 INFO  ExportHelperExtension.cs: 1409 - Component 32 is already fixed
2025-04-04 05:32:25,976 INFO  ExportHelperExtension.cs: 1402 - Fixing 48
2025-04-04 05:32:25,976 INFO  ExportHelperExtension.cs: 1409 - Component 48 is already fixed
2025-04-04 05:32:25,977 INFO  ExportHelperExtension.cs: 1402 - Fixing 33
2025-04-04 05:32:25,977 INFO  ExportHelperExtension.cs: 1409 - Component 33 is already fixed
2025-04-04 05:32:25,977 INFO  ExportHelperExtension.cs: 1402 - Fixing 39
2025-04-04 05:32:25,978 INFO  ExportHelperExtension.cs: 1409 - Component 39 is already fixed
2025-04-04 05:32:25,978 INFO  ExportHelperExtension.cs: 1402 - Fixing 39
2025-04-04 05:32:25,979 INFO  ExportHelperExtension.cs: 1409 - Component 39 is already fixed
2025-04-04 05:32:25,979 INFO  ExportHelperExtension.cs: 1402 - Fixing 42
2025-04-04 05:32:25,980 INFO  ExportHelperExtension.cs: 1409 - Component 42 is already fixed
